,country_name,total_cases,total_deaths,total_recovered,lat,long,text
111,Malta,399,3,44,35.937496,14.375416,"Country: Malta
 Total Case:399
 Total Death:3
 Total Recovered:44"
112,Mauritius,324,9,65,-20.348404,57.552152,"Country: Mauritius
 Total Case:324
 Total Death:9
 Total Recovered:65"
113,Maldives,21,,16,3.202778,73.22068,"Country: Maldives
 Total Case:21
 Total Death:
 Total Recovered:16"
114,Malawi,16,2,,-13.254308,34.301525,"Country: Malawi
 Total Case:16
 Total Death:2
 Total Recovered:"
115,Mexico,5399,406,2125,23.634501,-102.552784,"Country: Mexico
 Total Case:5399
 Total Death:406
 Total Recovered:2125"
116,Malaysia,5072,83,2647,4.210484,101.975766,"Country: Malaysia
 Total Case:5072
 Total Death:83
 Total Recovered:2647"
117,Mozambique,29,,2,-18.665695,35.529562,"Country: Mozambique
 Total Case:29
 Total Death:
 Total Recovered:2"
118,Namibia,16,,3,-22.95764,18.49041,"Country: Namibia
 Total Case:16
 Total Death:
 Total Recovered:3"
119,New Caledonia,18,,1,-20.904305,165.618042,"Country: New Caledonia
 Total Case:18
 Total Death:
 Total Recovered:1"
120,Niger,570,14,90,17.607789,8.081666,"Country: Niger
 Total Case:570
 Total Death:14
 Total Recovered:90"
121,Nigeria,373,11,99,9.081999,8.675277,"Country: Nigeria
 Total Case:373
 Total Death:11
 Total Recovered:99"
122,Nicaragua,9,1,4,12.865416,-85.207229,"Country: Nicaragua
 Total Case:9
 Total Death:1
 Total Recovered:4"
123,Netherlands,28153,3134,250,52.132633,5.291266,"Country: Netherlands
 Total Case:28153
 Total Death:3134
 Total Recovered:250"
124,Norway,6740,145,32,60.472024,8.468946,"Country: Norway
 Total Case:6740
 Total Death:145
 Total Recovered:32"
125,Nepal,16,,1,28.394857,84.124008,"Country: Nepal
 Total Case:16
 Total Death:
 Total Recovered:1"
126,New Zealand,1386,9,728,-40.900557,174.885971,"Country: New Zealand
 Total Case:1386
 Total Death:9
 Total Recovered:728"
127,Oman,910,4,131,21.512583,55.923255,"Country: Oman
 Total Case:910
 Total Death:4
 Total Recovered:131"
128,Panama,3574,95,72,8.537981,-80.782127,"Country: Panama
 Total Case:3574
 Total Death:95
 Total Recovered:72"
129,Peru,10303,230,2869,-9.189967,-75.015152,"Country: Peru
 Total Case:10303
 Total Death:230
 Total Recovered:2869"
130,French Polynesia,55,,,-17.679742,-149.406843,"Country: French Polynesia
 Total Case:55
 Total Death:
 Total Recovered:"
