,country_name,total_cases,total_deaths,total_recovered,lat,long,text
121,Panama,4210,116,122,8.537981,-80.782127,"Country: Panama
 Total Case:4210
 Total Death:116
 Total Recovered:122"
122,French Polynesia,55,,2,-17.679742,-149.40684299999998,"Country: French Polynesia
 Total Case:55
 Total Death:
 Total Recovered:2"
123,Papua New Guinea,7,,,-6.314993,143.95555,"Country: Papua New Guinea
 Total Case:7
 Total Death:
 Total Recovered:"
124,Philippines,6087,397,516,12.879721,121.77401699999999,"Country: Philippines
 Total Case:6087
 Total Death:397
 Total Recovered:516"
125,Pakistan,7638,143,1832,30.375321000000003,69.345116,"Country: Pakistan
 Total Case:7638
 Total Death:143
 Total Recovered:1832"
126,Poland,8742,347,981,51.919438,19.145135999999997,"Country: Poland
 Total Case:8742
 Total Death:347
 Total Recovered:981"
127,Portugal,19685,687,610,39.399871999999995,-8.224454,"Country: Portugal
 Total Case:19685
 Total Death:687
 Total Recovered:610"
128,Paraguay,202,8,35,-23.442503,-58.44383199999999,"Country: Paraguay
 Total Case:202
 Total Death:8
 Total Recovered:35"
129,Qatar,5008,8,510,25.354826,51.183884,"Country: Qatar
 Total Case:5008
 Total Death:8
 Total Recovered:510"
130,Réunion,407,,237,-21.115141,55.536384,"Country: Réunion
 Total Case:407
 Total Death:
 Total Recovered:237"
131,Romania,8418,421,1730,45.943160999999996,24.96676,"Country: Romania
 Total Case:8418
 Total Death:421
 Total Recovered:1730"
132,Serbia,5994,117,637,44.016521000000004,21.005859,"Country: Serbia
 Total Case:5994
 Total Death:117
 Total Recovered:637"
133,Russia,36793,313,3057,61.52401,105.31875600000001,"Country: Russia
 Total Case:36793
 Total Death:313
 Total Recovered:3057"
134,Rwanda,143,,65,-1.940278,29.873888,"Country: Rwanda
 Total Case:143
 Total Death:
 Total Recovered:65"
135,Saudi Arabia,8274,92,1329,23.885942,45.079162,"Country: Saudi Arabia
 Total Case:8274
 Total Death:92
 Total Recovered:1329"
136,Seychelles,11,,5,-4.679574,55.491977,"Country: Seychelles
 Total Case:11
 Total Death:
 Total Recovered:5"
137,Sudan,66,10,6,12.862807,30.217636,"Country: Sudan
 Total Case:66
 Total Death:10
 Total Recovered:6"
138,Sweden,13822,1511,550,60.128161,18.643501,"Country: Sweden
 Total Case:13822
 Total Death:1511
 Total Recovered:550"
139,Singapore,5992,11,740,1.352083,103.819836,"Country: Singapore
 Total Case:5992
 Total Death:11
 Total Recovered:740"
140,Slovenia,1317,70,190,46.151241,14.995463,"Country: Slovenia
 Total Case:1317
 Total Death:70
 Total Recovered:190"
141,Slovakia,1089,11,213,48.669026,19.699023999999998,"Country: Slovakia
 Total Case:1089
 Total Death:11
 Total Recovered:213"
142,Sierra Leone,30,,,8.460555000000001,-11.779889,"Country: Sierra Leone
 Total Case:30
 Total Death:
 Total Recovered:"
143,San Marino,455,39,60,43.94236,12.457777,"Country: San Marino
 Total Case:455
 Total Death:39
 Total Recovered:60"
144,Senegal,350,3,211,14.497401000000002,-14.452361999999999,"Country: Senegal
 Total Case:350
 Total Death:3
 Total Recovered:211"
145,Somalia,135,7,2,5.152149,46.199616,"Country: Somalia
 Total Case:135
 Total Death:7
 Total Recovered:2"
146,Suriname,10,1,6,3.9193050000000005,-56.02778299999999,"Country: Suriname
 Total Case:10
 Total Death:1
 Total Recovered:6"
147,El Salvador,190,7,43,13.794185,-88.89653,"Country: El Salvador
 Total Case:190
 Total Death:7
 Total Recovered:43"
148,Syria,38,2,5,34.802075,38.996815000000005,"Country: Syria
 Total Case:38
 Total Death:2
 Total Recovered:5"
149,Thailand,2733,47,1787,15.870032,100.992541,"Country: Thailand
 Total Case:2733
 Total Death:47
 Total Recovered:1787"
150,Timor-Leste,18,,1,-8.874217,125.727539,"Country: Timor-Leste
 Total Case:18
 Total Death:
 Total Recovered:1"
151,Tunisia,864,37,43,33.886917,9.537499,"Country: Tunisia
 Total Case:864
 Total Death:37
 Total Recovered:43"
152,Turkey,82329,1890,10453,38.963745,35.243322,"Country: Turkey
 Total Case:82329
 Total Death:1890
 Total Recovered:10453"
153,Taiwan,398,6,178,23.69781,120.96051499999999,"Country: Taiwan
 Total Case:398
 Total Death:6
 Total Recovered:178"
154,Tanzania,147,5,11,-6.369028,34.888822,"Country: Tanzania
 Total Case:147
 Total Death:5
 Total Recovered:11"
155,Ukraine,5106,133,275,48.379433,31.16558,"Country: Ukraine
 Total Case:5106
 Total Death:133
 Total Recovered:275"
156,Uganda,55,,20,1.373333,32.290275,"Country: Uganda
 Total Case:55
 Total Death:
 Total Recovered:20"
157,USA,726861,38200,63955,37.09024,-95.712891,"Country: USA
 Total Case:726861
 Total Death:38200
 Total Recovered:63955"
158,Uruguay,508,9,294,-32.522779,-55.765834999999996,"Country: Uruguay
 Total Case:508
 Total Death:9
 Total Recovered:294"
159,Uzbekistan,1469,4,194,41.377491,64.585262,"Country: Uzbekistan
 Total Case:1469
 Total Death:4
 Total Recovered:194"
160,Vatican City,8,,2,41.902916,12.453389,"Country: Vatican City
 Total Case:8
 Total Death:
 Total Recovered:2"
161,Venezuela,227,9,113,6.42375,-66.58973,"Country: Venezuela
 Total Case:227
 Total Death:9
 Total Recovered:113"
162,British Virgin Islands,4,,2,18.420695000000002,-64.63996800000001,"Country: British Virgin Islands
 Total Case:4
 Total Death:
 Total Recovered:2"
163,Vietnam,268,,201,14.058323999999999,108.277199,"Country: Vietnam
 Total Case:268
 Total Death:
 Total Recovered:201"
164,Yemen,1,,,15.552726999999999,48.516388,"Country: Yemen
 Total Case:1
 Total Death:
 Total Recovered:"
165,Mayotte,254,4,117,-12.8275,45.166244,"Country: Mayotte
 Total Case:254
 Total Death:4
 Total Recovered:117"
166,South Africa,2783,50,903,-30.559482,22.937506,"Country: South Africa
 Total Case:2783
 Total Death:50
 Total Recovered:903"
167,Zambia,57,2,33,-13.133897,27.849332,"Country: Zambia
 Total Case:57
 Total Death:2
 Total Recovered:33"
168,Zimbabwe,24,3,2,-19.015438,29.154857,"Country: Zimbabwe
 Total Case:24
 Total Death:3
 Total Recovered:2"
